###################################### udx :  508 76 77,,,
###################################### udx :  6.597402597402597,,,
1,20,38,9
1,20,376,0
1,21,358,1
1,25,385,4
1,28,44,3
1,31,367,3
1,35,178,4
1,41,70,6
1,44,46,3
1,45,332,1
1,46,264,1
1,48,363,2
1,48,416,0
1,49,78,1
2,66,265,17
3,79,249,13
3,80,266,1
4,94,326,14
4,99,268,5
5,127,402,28
5,132,347,5
5,135,336,3
5,139,282,4
5,143,293,4
5,145,274,2
6,174,418,29
7,191,427,17
8,207,433,16
9,216,421,9
10,225,440,9
10,230,378,5
10,235,428,5
10,237,333,2
10,240,446,3
10,244,285,4
10,247,432,3
10,249,242,2
10,255,195,6
10,259,158,4
11,267,456,8
11,269,439,2
11,271,382,2
12,279,335,8
12,284,291,5
12,287,247,3
12,288,446,1
13,295,202,7
13,299,163,4
14,309,453,10
15,320,388,11
15,325,343,5
15,327,297,2
16,335,252,8
16,338,207,3
16,343,171,5
17,358,471,15
18,365,393,7
18,369,348,4
18,375,302,6
18,378,255,3
18,382,211,4
18,384,176,2
19,416,400,32
19,419,354,3
19,420,307,1
19,426,263,6
19,428,217,2
19,430,182,2
20,442,177,12
21,461,406,19
21,463,360,2
21,466,311,3
21,468,268,2
21,470,187,2
21,470,222,0
22,519,189,49
,245.9736842,299.0789474,6.684210526
######################################,,,


New

######################################
######################################
###################################### udx :  128 80 81
###################################### udx :  1.5802469135802468
0 , 238 , 409 , 0
0 , 238 , 428 , 0
0 , 238 , 443 , 0
0 , 239 , 330 , 1
0 , 239 , 344 , 0
0 , 239 , 363 , 0
0 , 239 , 376 , 0
1 , 252 , 330 , 13
1 , 252 , 379 , 0
1 , 253 , 346 , 1
1 , 253 , 362 , 0
1 , 254 , 393 , 1
1 , 254 , 411 , 0
1 , 254 , 426 , 0
1 , 254 , 444 , 0
1 , 254 , 459 , 0
2 , 268 , 344 , 14
2 , 268 , 395 , 0
2 , 268 , 428 , 0
2 , 268 , 459 , 0
3 , 270 , 329 , 2
3 , 270 , 362 , 0
3 , 270 , 377 , 0
3 , 270 , 411 , 0
3 , 270 , 444 , 0
4 , 284 , 329 , 14
5 , 286 , 346 , 2
5 , 286 , 362 , 0
5 , 286 , 378 , 0
5 , 286 , 393 , 0
5 , 286 , 411 , 0
5 , 286 , 426 , 0
5 , 286 , 443 , 0
5 , 287 , 459 , 1
6 , 300 , 362 , 13
6 , 300 , 409 , 0
6 , 300 , 428 , 0
6 , 300 , 459 , 0
6 , 301 , 443 , 1
6 , 302 , 329 , 1
6 , 302 , 346 , 0
6 , 302 , 378 , 0
6 , 302 , 393 , 0
7 , 316 , 329 , 14
7 , 316 , 346 , 0
7 , 316 , 362 , 0
7 , 317 , 411 , 1
7 , 317 , 426 , 0
7 , 318 , 378 , 1
7 , 318 , 393 , 0
7 , 319 , 442 , 1
7 , 319 , 459 , 0
8 , 325 , 297 , 6
9 , 332 , 362 , 7
9 , 333 , 426 , 1
9 , 333 , 442 , 0
9 , 333 , 459 , 0
9 , 334 , 329 , 1
9 , 334 , 346 , 0
9 , 334 , 378 , 0
9 , 334 , 394 , 0
9 , 335 , 411 , 1
10 , 347 , 329 , 12
10 , 348 , 344 , 1
10 , 349 , 409 , 1
10 , 350 , 362 , 1
10 , 350 , 378 , 0
10 , 351 , 395 , 1
10 , 351 , 426 , 0
10 , 351 , 444 , 0
10 , 352 , 459 , 1
11 , 364 , 346 , 12
11 , 364 , 360 , 0
11 , 365 , 378 , 1
11 , 365 , 393 , 0
11 , 365 , 411 , 0
11 , 366 , 126 , 1
11 , 366 , 426 , 0
11 , 366 , 445 , 0
11 , 366 , 459 , 0
######################################
######################################
###################################### udx :  273 80 81
###################################### udx :  3.3703703703703702
0 , 238 , 409 , 0
0 , 238 , 428 , 0
0 , 238 , 443 , 0
0 , 239 , 330 , 1
0 , 239 , 344 , 0
0 , 239 , 363 , 0
0 , 239 , 376 , 0
1 , 252 , 330 , 13
1 , 252 , 347 , 0
1 , 252 , 379 , 0
1 , 253 , 362 , 1
1 , 254 , 393 , 1
1 , 254 , 411 , 0
1 , 254 , 426 , 0
1 , 254 , 444 , 0
1 , 254 , 459 , 0
2 , 268 , 344 , 14
2 , 268 , 395 , 0
2 , 268 , 409 , 0
2 , 268 , 428 , 0
2 , 268 , 459 , 0
2 , 270 , 329 , 2
2 , 270 , 362 , 0
2 , 270 , 377 , 0
2 , 270 , 443 , 0
3 , 284 , 329 , 14
3 , 286 , 346 , 2
3 , 286 , 362 , 0
3 , 286 , 378 , 0
3 , 286 , 393 , 0
3 , 286 , 411 , 0
3 , 286 , 426 , 0
3 , 286 , 443 , 0
3 , 287 , 459 , 1
4 , 300 , 346 , 13
4 , 300 , 362 , 0
4 , 300 , 395 , 0
4 , 300 , 409 , 0
4 , 300 , 459 , 0
4 , 301 , 426 , 1
4 , 301 , 443 , 0
4 , 302 , 329 , 1
4 , 302 , 378 , 0
5 , 315 , 330 , 13
5 , 316 , 346 , 1
5 , 317 , 411 , 1
5 , 317 , 426 , 0
5 , 318 , 362 , 1
5 , 318 , 378 , 0
5 , 318 , 393 , 0
5 , 319 , 442 , 1
5 , 319 , 460 , 0
6 , 325 , 297 , 6
7 , 332 , 362 , 7
7 , 333 , 426 , 1
7 , 333 , 442 , 0
7 , 333 , 459 , 0
7 , 334 , 329 , 1
7 , 334 , 346 , 0
7 , 334 , 378 , 0
7 , 334 , 394 , 0
7 , 335 , 411 , 1
8 , 347 , 329 , 12
8 , 348 , 344 , 1
8 , 350 , 362 , 2
8 , 350 , 378 , 0
8 , 351 , 395 , 1
8 , 351 , 409 , 0
8 , 351 , 426 , 0
8 , 351 , 444 , 0
8 , 352 , 459 , 1
9 , 364 , 346 , 12
9 , 364 , 360 , 0
9 , 365 , 378 , 1
9 , 365 , 393 , 0
9 , 365 , 411 , 0
9 , 366 , 426 , 1
9 , 366 , 445 , 0
9 , 366 , 459 , 0
10 , 511 , 303 , 145
######################################
######################################
###################################### udx :  129 80 81
###################################### udx :  1.5925925925925926
0 , 238 , 409 , 0
0 , 238 , 428 , 0
0 , 238 , 443 , 0
0 , 239 , 330 , 1
0 , 239 , 344 , 0
0 , 239 , 363 , 0
0 , 239 , 376 , 0
1 , 252 , 330 , 13
1 , 252 , 379 , 0
1 , 253 , 362 , 1
1 , 254 , 393 , 1
1 , 254 , 411 , 0
1 , 254 , 426 , 0
1 , 254 , 444 , 0
1 , 254 , 459 , 0
1 , 255 , 344 , 1
2 , 268 , 344 , 13
2 , 268 , 395 , 0
2 , 268 , 409 , 0
2 , 268 , 428 , 0
2 , 268 , 459 , 0
3 , 270 , 329 , 2
3 , 270 , 362 , 0
3 , 270 , 443 , 0
3 , 271 , 379 , 1
4 , 284 , 329 , 13
4 , 284 , 360 , 0
4 , 285 , 443 , 1
4 , 286 , 346 , 1
4 , 286 , 378 , 0
4 , 286 , 393 , 0
4 , 286 , 411 , 0
4 , 286 , 426 , 0
4 , 287 , 459 , 1
5 , 300 , 346 , 13
5 , 300 , 376 , 0
5 , 300 , 395 , 0
5 , 300 , 409 , 0
5 , 300 , 459 , 0
5 , 301 , 426 , 1
5 , 301 , 444 , 0
5 , 302 , 329 , 1
5 , 302 , 360 , 0
6 , 316 , 329 , 14
6 , 316 , 362 , 0
6 , 317 , 411 , 1
6 , 317 , 426 , 0
6 , 317 , 444 , 0
6 , 318 , 344 , 1
6 , 318 , 378 , 0
6 , 318 , 393 , 0
6 , 319 , 460 , 1
7 , 325 , 297 , 6
8 , 332 , 360 , 7
8 , 333 , 329 , 1
8 , 333 , 426 , 0
8 , 333 , 459 , 0
8 , 334 , 346 , 1
8 , 334 , 378 , 0
8 , 334 , 394 , 0
8 , 335 , 411 , 1
8 , 335 , 444 , 0
9 , 347 , 329 , 12
9 , 348 , 344 , 1
9 , 349 , 411 , 1
9 , 350 , 362 , 1
9 , 350 , 376 , 0
9 , 351 , 395 , 1
9 , 351 , 426 , 0
9 , 351 , 443 , 0
9 , 352 , 459 , 1
10 , 364 , 346 , 12
10 , 364 , 360 , 0
10 , 365 , 378 , 1
10 , 365 , 393 , 0
10 , 365 , 411 , 0
10 , 366 , 426 , 1
10 , 366 , 445 , 0
10 , 366 , 459 , 0
10 , 367 , 126 , 1
######################################
######################################
###################################### udx :  273 80 81
###################################### udx :  3.3703703703703702
0 , 238 , 409 , 0
0 , 238 , 428 , 0
0 , 238 , 443 , 0
0 , 239 , 330 , 1
0 , 239 , 344 , 0
0 , 239 , 363 , 0
0 , 239 , 376 , 0
1 , 252 , 330 , 13
1 , 252 , 379 , 0
1 , 253 , 362 , 1
1 , 253 , 411 , 0
1 , 254 , 393 , 1
1 , 254 , 426 , 0
1 , 254 , 444 , 0
1 , 254 , 459 , 0
1 , 255 , 344 , 1
2 , 268 , 344 , 13
2 , 268 , 376 , 0
2 , 268 , 409 , 0
2 , 268 , 428 , 0
2 , 268 , 459 , 0
2 , 270 , 329 , 2
2 , 270 , 362 , 0
2 , 270 , 393 , 0
2 , 270 , 443 , 0
3 , 284 , 330 , 14
3 , 284 , 346 , 0
3 , 284 , 360 , 0
3 , 285 , 411 , 1
3 , 285 , 443 , 0
3 , 286 , 378 , 1
3 , 286 , 393 , 0
