ii, x  , y,,,,,,,,,,,,
57,291,352,,,,,,,,,,,,
58,367,340,,,,,,,,,,,,
59,322,231,,,,,,,,,,,,
60,261,230,,,,,,,,,,,,
61,260,352,,,,,,,,,,,,
62,247,261,,,,,,,,,,,,
63,367,248,,,,,,,,,,,,
64,309,231,,,,,,,,,,,,
65,304,352,,,,,,,,,,,,
66,339,231,,,,,,,,,,,,
67,246,304,,,,,,,,,,,,
68,322,353,,,,,,,,,,,,
69,367,261,,,,,,,,,,,,
70,335,353,,,,,,,,,,,,
71,244,336,,,,,,,,,,,,
72,246,274,,,,,,,,,,,,
73,353,133,,,,,,,,,,,,
74,352,231,,,,,,,,,,,,
75,278,230,,,,,,,,,,,,
76,245,322,,,,,,,,,,,,
77,421,465,,,,,,,,,,,,
78,273,352,,,,,,,,,,,,
79,353,353,,,,,,,,,,,,
80,247,244,,,,,,,,,,,,
,314.5061728,285.5802469,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
dd,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,87,2,,,,,,,,,,,,
1,85,27,,,,,,,,,,,,
2,74,37,,,,,,,,,,,,
3,62,4,,,,,,,,,,,,
4,39,28,,,,,,,,,,,,
5,87,38,,,,,,,,,,,,
6,75,15,,,,,,,,,,,,
7,52,16,,,,,,,,,,,,
8,64,14,,,,,,,,,,,,
9,40,3,,,,,,,,,,,,
10,85,50,,,,,,,,,,,,
11,50,40,,,,,,,,,,,,
12,14,29,,,,,,,,,,,,
13,62,51,,,,,,,,,,,,
14,87,15,,,,,,,,,,,,
15,38,76,,,,,,,,,,,,
16,52,3,,,,,,,,,,,,
17,74,4,,,,,,,,,,,,
18,86,72,,,,,,,,,,,,
19,62,27,,,,,,,,,,,,
20,52,26,,,,,,,,,,,,
21,16,5,,,,,,,,,,,,
22,28,15,,,,,,,,,,,,
23,40,50,,,,,,,,,,,,
24,64,73,,,,,,,,,,,,
25,28,39,,,,,,,,,,,,
26,52,61,,,,,,,,,,,,
27,39,16,,,,,,,,,,,,
28,74,27,,,,,,,,,,,,
29,74,50,,,,,,,,,,,,
30,75,61,,,,,,,,,,,,
31,64,39,,,,,,,,,,,,
32,28,5,,,,,,,,,,,,
33,16,17,,,,,,,,,,,,
34,28,27,,,,,,,,,,,,
35,76,71,,,,,,,,,,,,
36,52,51,,,,,,,,,,,,
37,64,62,,,,,,,,,,,,
38,39,39,,,,,,,,,,,,
39,40,62,,,,,,,,,,,,
40,27,63,,,,,,,,,,,,
41,15,40,,,,,,,,,,,,
42,52,73,,,,,,,,,,,,
43,14,53,,,,,,,,,,,,
44,26,51,,,,,,,,,,,,
45,13,65,,,,,,,,,,,,
46,24,78,,,,,,,,,,,,
47,97,49,,,,,,,,,,,,
48,97,4,,,,,,,,,,,,
49,97,36,,,,,,,,,,,,
50,97,26,,,,,,,,,,,,
51,2,28,,,,,,,,,,,,
52,97,72,,,,,,,,,,,,
53,3,4,,,,,,,,,,,,
54,2,18,,,,,,,,,,,,
55,97,16,,,,,,,,,,,,
56,98,61,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,85,4,,,,,,,,,,,,
1,39,28,,,,,,,,,,,,
2,85,27,,,,,,,,,,,,
3,74,14,,,,,,,,,,,,
4,74,37,,,,,,,,,,,,
5,39,4,,,,,,,,,,,,
6,87,38,,,,,,,,,,,,
7,14,29,,,,,,,,,,,,
8,62,4,,,,,,,,,,,,
9,52,16,,,,,,,,,,,,
10,87,49,,,,,,,,,,,,
11,52,39,,,,,,,,,,,,
12,64,16,,,,,,,,,,,,
13,62,51,,,,,,,,,,,,
14,75,4,,,,,,,,,,,,
15,28,16,,,,,,,,,,,,
16,62,27,,,,,,,,,,,,
17,86,72,,,,,,,,,,,,
18,87,15,,,,,,,,,,,,
19,38,76,,,,,,,,,,,,
20,52,61,,,,,,,,,,,,
21,40,50,,,,,,,,,,,,
22,15,5,,,,,,,,,,,,
23,52,26,,,,,,,,,,,,
24,28,39,,,,,,,,,,,,
25,52,3,,,,,,,,,,,,
26,28,27,,,,,,,,,,,,
27,64,73,,,,,,,,,,,,
28,40,16,,,,,,,,,,,,
29,64,39,,,,,,,,,,,,
30,28,4,,,,,,,,,,,,
31,74,50,,,,,,,,,,,,
32,75,60,,,,,,,,,,,,
33,74,27,,,,,,,,,,,,
34,40,62,,,,,,,,,,,,
35,87,59,,,,,,,,,,,,
36,64,62,,,,,,,,,,,,
37,13,54,,,,,,,,,,,,
38,52,51,,,,,,,,,,,,
39,76,71,,,,,,,,,,,,
40,16,17,,,,,,,,,,,,
41,15,40,,,,,,,,,,,,
42,40,39,,,,,,,,,,,,
43,27,63,,,,,,,,,,,,
44,52,73,,,,,,,,,,,,
45,27,52,,,,,,,,,,,,
46,13,65,,,,,,,,,,,,
47,24,78,,,,,,,,,,,,
48,97,4,,,,,,,,,,,,
49,97,49,,,,,,,,,,,,
50,97,26,,,,,,,,,,,,
51,97,36,,,,,,,,,,,,
52,97,72,,,,,,,,,,,,
53,2,28,,,,,,,,,,,,
54,3,4,,,,,,,,,,,,
55,2,18,,,,,,,,,,,,
56,97,16,,,,,,,,,,,,
57,98,61,,,,,,,,,,,,
58,2,40,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
######################################,,,,,,,,,,,,,,
0,2,28,,,,,,,,,,,,
1,3,4,,,,,,,,,,,,
2,3,15,,,,,,,,,,,,
3,13,54,,,,,,,,,,,,
4,13,65,,,,,,,,,,,,
5,14,29,,,,,,,,,,,,
6,15,5,,,,,,,,,,,,
7,15,40,,,,,,,,,,,,
8,16,17,,,,,,,,,,,,
9,24,78,,,,,,,,,,,,
10,27,16,,,,,,,,,,,,
11,27,4,,,,,,,,,,,,
12,27,63,,,,,,,,,,,,
13,28,39,,,,,,,,,,,,
14,28,27,,,,,,,,,,,,
15,28,51,,,,,,,,,,,,
16,38,76,,,,,,,,,,,,
17,39,28,,,,,,,,,,,,
18,39,4,,,,,,,,,,,,
19,39,16,,,,,,,,,,,,
20,40,50,,,,,,,,,,,,
21,40,39,,,,,,,,,,,,
22,40,62,,,,,,,,,,,,
23,51,62,,,,,,,,,,,,
24,52,16,,,,,,,,,,,,
25,52,39,,,,,,,,,,,,
26,52,3,,,,,,,,,,,,
27,52,26,,,,,,,,,,,,
28,52,51,,,,,,,,,,,,
29,52,73,,,,,,,,,,,,
30,62,4,,,,,,,,,,,,
31,62,27,,,,,,,,,,,,
32,62,16,,,,,,,,,,,,
33,64,49,,,,,,,,,,,,
34,64,72,,,,,,,,,,,,
35,64,39,,,,,,,,,,,,
36,64,62,,,,,,,,,,,,
37,74,37,,,,,,,,,,,,
38,74,15,,,,,,,,,,,,
39,74,50,,,,,,,,,,,,
40,74,27,,,,,,,,,,,,
41,75,4,,,,,,,,,,,,
42,75,61,,,,,,,,,,,,
43,76,71,,,,,,,,,,,,
44,85,4,,,,,,,,,,,,
45,85,27,,,,,,,,,,,,
46,85,50,,,,,,,,,,,,
47,86,72,,,,,,,,,,,,
48,87,15,,,,,,,,,,,,
49,87,38,,,,,,,,,,,,
50,87,61,,,,,,,,,,,,
51,97,4,,,,,,,,,,,,
52,97,36,,,,,,,,,,,,
53,97,59,,,,,,,,,,,,
54,97,49,,,,,,,,,,,,
55,97,26,,,,,,,,,,,,
56,97,72,,,,,,,,,,,,
57,97,16,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,23,270,,,,,,,,,,,,
1,40,281,,,,,,,,,,,,
2,44,359,,,,,,,,,,,,
3,53,282,,,,,,,,,,,,
4,65,251,,,,,,,,,,,,
5,79,279,,,,,,,,,,,,
6,89,249,,,,,,,,,,,,
7,105,261,,,,,,,,,,,,
8,116,285,,,,,,,,,,,,
9,183,406,,,,,,,,,,,,
10,183,437,,,,,,,,,,,,
11,184,345,,,,,,,,,,,,
12,184,362,,,,,,,,,,,,
13,184,375,,,,,,,,,,,,
14,196,439,,,,,,,,,,,,
15,197,377,,,,,,,,,,,,
16,197,407,,,,,,,,,,,,
17,198,331,,,,,,,,,,,,
18,198,347,,,,,,,,,,,,
19,198,361,,,,,,,,,,,,
20,198,421,,,,,,,,,,,,
21,199,390,,,,,,,,,,,,
22,211,451,,,,,,,,,,,,
23,212,391,,,,,,,,,,,,
24,212,422,,,,,,,,,,,,
25,212,436,,,,,,,,,,,,
26,213,361,,,,,,,,,,,,
27,214,374,,,,,,,,,,,,
28,214,406,,,,,,,,,,,,
29,215,330,,,,,,,,,,,,
30,215,344,,,,,,,,,,,,
31,227,421,,,,,,,,,,,,
32,227,436,,,,,,,,,,,,
33,228,330,,,,,,,,,,,,
34,228,360,,,,,,,,,,,,
35,228,375,,,,,,,,,,,,
36,229,390,,,,,,,,,,,,
